epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
36;0.28233635425567627;0.89837205;0.632241713082275;0.8936164080228749;0.5812783090085556;0.90972936;0.7448071;0.9796754;0.37896326;0.88764745;0.552444603200923;0.8583810270223992;0.2828330993652344;0.4954128440366973;0.904;0.6666667;0.9734386;0.33944955
37;0.28166526556015015;0.8978952;0.6419561212266902;0.895728628871658;0.5898339204831404;0.9048239;0.78571427;0.9855837;0.33769503;0.8895096;0.5603868651842068;0.8594817139432418;0.28083109855651855;0.5194508009153318;0.9007256;0.7105263;0.98025846;0.30963302
38;0.2828558087348938;0.89782715;0.6424318164876056;0.8950924827353852;0.587820835430297;0.9028357;0.8094028;0.9881834;0.3205838;0.8882682;0.5577421049289176;0.8579710479000506;0.2846328616142273;0.5068807339449541;0.8977049;0.7209302;0.982771;0.28440368
39;0.280396431684494;0.8991894;0.6412347955874771;0.895624061520412;0.5883241066935078;0.90630436;0.7877412;0.98526865;0.34927025;0.8879578;0.5568342946614068;0.8587119740247766;0.28258848190307617;0.5;0.90109164;0.68844223;0.9777459;0.3142202
40;0.2807597219944;0.8962605;0.6433732271687063;0.8972223660505114;0.591343734272773;0.9003082;0.8186813;0.9896014;0.29994968;0.8860956;0.5544434494492376;0.8571815499515927;0.2840304970741272;0.5114678899082569;0.8953906;0.71165645;0.9831299;0.26605505
41;0.27598732709884644;0.9023227;0.6509194577829144;0.8980069086211786;0.5973829894313035;0.9122126;0.77028346;0.98148733;0.39657775;0.88857853;0.5535377612312911;0.8580278522362798;0.28237465023994446;0.5091743119266054;0.9046349;0.67264575;0.97379756;0.3440367
42;0.28002551198005676;0.89891696;0.6453457851016193;0.8987876649616869;0.5875564475664827;0.9057478;0.7900807;0.9856625;0.3447408;0.8904407;0.5550287661608463;0.8590330420121579;0.28403928875923157;0.5137614678899083;0.9016177;0.7150259;0.98025846;0.31651375
43;0.27991899847984314;0.8986445;0.6472169454621968;0.8983569069441364;0.5958731756416709;0.90472406;0.79808843;0.98668665;0.33618522;0.88702667;0.5509918130271098;0.8548278746287138;0.28378698229789734;0.5206422018348624;0.89809334;0.7;0.98061734;0.28899083
44;0.2785676121711731;0.8998706;0.6516208071317069;0.9002567619097157;0.5988928032209361;0.9067256;0.79275197;0.9855837;0.3522899;0.8860956;0.5503995345584826;0.8587276157985209;0.28168049454689026;0.5091743119266054;0.8987801;0.6825397;0.97846377;0.29587156
45;0.2782696783542633;0.9013691;0.6535385874909074;0.900392887786684;0.5963764469048818;0.9108578;0.7708543;0.98203874;0.38600907;0.8842334;0.5504589017782475;0.8552872488260438;0.28578540682792664;0.5045871559633027;0.90123045;0.6465116;0.97272074;0.31880733
46;0.2776438295841217;0.9004155;0.6569083241591122;0.9011753885683125;0.6030150753768844;0.9073107;0.79395294;0.985505;0.35681933;0.8867163;0.5460605229848959;0.855800134354604;0.2837406098842621;0.5160550458715596;0.8993732;0.68586385;0.97846377;0.30045873
